category,material_tier,size,labor_hours,complexity_score,quality_score,market_saturation,hourly_wage,material_cost,price
Painting,Economy,Small,10.8,1.93,68.8,0.674,108.5,140.0,1858.0
Metalware,Standard,Small,7.1,1.43,58.9,0.724,97.7,402.5,1413.0
Metalware,Standard,Small,10.7,3.75,72.0,0.186,83.5,402.5,2516.0
BambooCane,Economy,Medium,3.1,4.06,83.5,0.602,149.9,120.0,852.0
Jewelry,Standard,Small,2.8,2.43,99.2,0.743,105.9,483.0,1309.0
Leatherwork,Economy,Large,20.2,1.56,77.9,0.225,132.3,576.0,4822.0
Woodwork,Economy,Small,4.4,2.6,95.6,0.243,101.8,224.0,1203.0
Painting,Economy,Medium,6.6,0.72,51.5,0.48,94.3,200.0,1011.0
Painting,Standard,Large,4.0,5.68,76.8,0.723,66.4,460.0,1318.0
Painting,Standard,Small,7.7,2.23,66.7,0.523,147.9,201.2,1992.0
BambooCane,Standard,Large,3.5,1.75,36.9,0.415,81.5,276.0,659.0
Textile,Economy,Medium,10.2,2.77,55.8,0.585,77.9,280.0,1518.0
Woodwork,Economy,Small,2.5,5.12,65.9,0.884,72.0,224.0,605.0
Leatherwork,Standard,Large,14.6,3.71,52.7,0.368,143.4,828.0,4726.0
Woodwork,Standard,Small,2.3,0.94,71.8,0.444,69.5,322.0,650.0
Metalware,Standard,Large,4.4,6.53,62.3,0.743,88.0,920.0,2248.0
Textile,Economy,Large,7.4,7.65,49.0,0.284,100.1,448.0,2459.0
Jewelry,Standard,Medium,4.1,6.39,66.5,0.61,84.8,690.0,1864.0
Leatherwork,Economy,Small,16.3,2.12,97.9,0.906,112.9,252.0,2660.0
Metalware,Economy,Small,7.0,1.27,50.7,0.582,120.4,280.0,1477.0
Metalware,Premium,Medium,9.0,6.99,81.9,0.534,86.0,900.0,3694.0
Textile,Economy,Large,12.3,4.91,73.2,0.846,71.5,448.0,1867.0
Leatherwork,Economy,Small,10.2,0.59,100.0,0.658,95.4,252.0,1589.0
Textile,Economy,Small,11.1,4.32,68.9,0.155,149.8,196.0,3271.0
Jewelry,Premium,Medium,7.9,2.17,91.2,0.893,69.4,1080.0,2205.0
Woodwork,Economy,Small,1.0,5.14,86.9,0.467,61.8,224.0,528.0
Metalware,Standard,Large,7.2,1.51,79.5,0.394,128.7,920.0,2877.0
Painting,Standard,Medium,15.1,1.71,66.5,0.716,149.1,287.5,3358.0
Pottery,Standard,Small,14.3,2.36,95.0,0.487,111.9,96.6,3037.0
BambooCane,Standard,Medium,4.8,4.52,58.2,0.755,104.3,172.5,984.0
Woodwork,Standard,Small,3.1,5.94,90.4,0.275,78.4,322.0,1354.0
Jewelry,Standard,Medium,1.8,4.51,91.6,0.171,107.9,690.0,1765.0
Woodwork,Standard,Small,3.4,0.98,100.0,0.486,141.6,322.0,1322.0
Painting,Economy,Medium,7.4,3.67,90.4,0.397,131.5,200.0,2308.0
Textile,Economy,Medium,6.0,4.46,82.1,0.633,61.7,280.0,1123.0
Jewelry,Economy,Medium,17.3,5.74,77.1,0.787,64.0,480.0,2959.0
BambooCane,Premium,Medium,14.2,2.76,74.5,0.138,97.8,270.0,2779.0
Jewelry,Standard,Small,9.8,3.88,81.7,0.209,77.5,483.0,2409.0
Textile,Standard,Large,4.1,2.46,90.7,0.474,121.3,644.0,1964.0
Textile,Economy,Medium,6.5,6.08,68.6,0.313,76.1,280.0,1510.0
Pottery,Standard,Medium,9.3,4.23,65.0,0.139,106.5,138.0,1986.0
Pottery,Standard,Medium,7.9,2.27,71.8,0.464,117.6,138.0,1525.0
Painting,Standard,Small,2.2,5.19,76.4,0.445,138.5,201.2,1028.0
Textile,Economy,Medium,4.8,3.39,81.5,0.305,85.2,280.0,1267.0
Jewelry,Premium,Medium,9.5,4.33,72.9,0.447,61.5,1080.0,3021.0
Painting,Economy,Medium,16.0,2.44,76.4,0.064,118.0,200.0,3972.0
Jewelry,Premium,Medium,12.0,1.75,73.8,0.95,97.3,1080.0,2305.0
Metalware,Standard,Medium,4.9,1.67,99.0,0.512,105.7,575.0,1914.0
Jewelry,Economy,Medium,5.1,3.8,70.5,0.602,113.3,480.0,1662.0
Metalware,Economy,Medium,16.9,3.46,100.0,0.344,101.5,400.0,4270.0
Leatherwork,Standard,Medium,4.9,7.51,62.8,0.485,94.3,517.5,1916.0
Jewelry,Economy,Medium,13.5,2.37,82.5,0.181,135.2,480.0,4220.0
Jewelry,Standard,Large,7.4,4.0,68.7,0.745,96.1,1104.0,2808.0
BambooCane,Standard,Medium,13.8,2.65,59.0,0.186,92.9,172.5,2448.0
Jewelry,Economy,Medium,4.4,1.17,100.0,0.443,85.2,480.0,1332.0
Jewelry,Standard,Medium,25.1,0.56,81.4,0.28,60.9,690.0,3372.0
Woodwork,Standard,Medium,23.5,6.34,61.6,0.36,147.9,460.0,8064.0
Metalware,Standard,Medium,4.3,4.23,57.0,0.702,102.0,575.0,1573.0
Woodwork,Premium,Medium,5.4,5.87,68.8,0.767,84.7,720.0,1777.0
Woodwork,Premium,Medium,14.3,4.85,83.8,0.738,89.1,720.0,3001.0
Woodwork,Standard,Small,7.4,5.31,97.9,0.224,60.7,322.0,1840.0
BambooCane,Premium,Medium,10.3,4.93,46.9,0.421,98.1,270.0,1897.0
Pottery,Economy,Medium,3.5,6.97,96.7,0.116,86.8,96.0,1028.0
Painting,Standard,Small,10.9,7.85,72.7,0.577,123.6,201.2,3286.0
Painting,Premium,Small,15.5,2.23,86.7,0.237,102.7,315.0,3115.0
BambooCane,Economy,Small,9.9,5.11,80.9,0.78,85.1,84.0,1439.0
Metalware,Standard,Small,9.7,0.81,84.3,0.655,129.8,402.5,2168.0
Pottery,Premium,Medium,7.7,7.49,83.7,0.533,113.8,216.0,2364.0
Painting,Standard,Large,12.7,6.17,72.5,0.533,133.1,460.0,3603.0
Woodwork,Premium,Large,7.5,6.66,68.7,0.562,104.3,1152.0,3326.0
Woodwork,Economy,Medium,6.7,3.44,65.5,0.799,148.9,320.0,1695.0
Pottery,Premium,Medium,5.3,6.34,83.5,0.274,73.7,216.0,1261.0
Textile,Economy,Medium,14.4,2.77,85.5,0.759,131.6,280.0,3303.0
Pottery,Standard,Medium,5.9,6.44,58.9,0.445,80.1,138.0,1080.0
Leatherwork,Standard,Large,9.4,6.23,81.9,0.328,95.7,828.0,3571.0
Textile,Premium,Small,2.6,1.59,83.0,0.316,108.2,441.0,1001.0
Textile,Standard,Medium,6.8,1.71,50.2,0.304,113.9,402.5,1569.0
Metalware,Economy,Medium,8.6,1.37,67.8,0.472,116.1,400.0,1710.0
Metalware,Standard,Small,9.4,8.52,78.9,0.885,107.1,402.5,2316.0
Jewelry,Economy,Large,2.7,3.48,47.6,0.358,117.0,768.0,1678.0
BambooCane,Economy,Small,5.6,5.05,68.8,0.178,66.8,84.0,899.0
BambooCane,Premium,Large,8.6,4.91,74.5,0.311,125.0,432.0,3192.0
Pottery,Economy,Medium,7.0,1.63,28.8,0.616,100.9,96.0,875.0
Woodwork,Economy,Small,18.6,1.98,75.3,0.248,89.6,224.0,2634.0
Painting,Standard,Medium,7.8,3.9,81.1,0.479,84.0,287.5,1694.0
Metalware,Standard,Small,4.9,6.24,50.9,0.722,80.7,402.5,1285.0
Woodwork,Premium,Medium,18.2,5.44,60.6,0.451,134.9,720.0,5582.0
Metalware,Standard,Small,8.2,8.91,71.9,0.873,60.9,402.5,1707.0
Jewelry,Standard,Medium,11.5,6.2,63.6,0.323,86.4,690.0,2988.0
Textile,Economy,Large,3.9,6.72,78.9,0.565,127.5,448.0,1770.0
Woodwork,Economy,Small,13.3,3.12,79.6,0.504,90.5,224.0,2554.0
Leatherwork,Standard,Large,4.4,4.7,83.2,0.213,133.8,828.0,3218.0
BambooCane,Standard,Medium,6.4,5.97,100.0,0.455,65.0,172.5,1190.0
Textile,Economy,Large,10.2,2.82,53.9,0.796,61.1,448.0,1325.0
BambooCane,Standard,Small,13.7,1.26,80.4,0.13,128.6,120.7,2862.0
Metalware,Premium,Small,2.3,3.3,77.3,0.572,91.5,630.0,1441.0
Woodwork,Premium,Large,9.2,5.34,92.8,0.223,73.4,1152.0,4205.0
Jewelry,Standard,Small,6.9,1.39,64.6,0.784,97.4,483.0,1370.0
Pottery,Premium,Medium,7.8,4.29,78.7,0.758,128.3,216.0,1874.0
Pottery,Premium,Medium,24.4,4.8,86.9,0.437,74.2,216.0,3707.0
Metalware,Economy,Large,1.3,5.65,68.5,0.67,131.7,640.0,1404.0
Pottery,Economy,Medium,15.7,0.5,84.4,0.691,111.8,96.0,2030.0
Leatherwork,Standard,Medium,4.7,4.21,84.4,0.194,135.0,517.5,2603.0
Woodwork,Economy,Medium,9.0,7.3,69.9,0.33,84.8,320.0,2392.0
Metalware,Standard,Small,8.0,1.27,66.0,0.499,72.3,402.5,1189.0
Jewelry,Economy,Medium,7.0,2.07,74.7,0.48,122.8,480.0,2195.0
Pottery,Standard,Medium,6.3,5.07,78.7,0.345,63.8,138.0,1091.0
Leatherwork,Standard,Large,2.7,2.71,41.3,0.272,113.3,828.0,1526.0
Textile,Economy,Medium,15.7,4.19,71.0,0.665,107.5,280.0,3455.0
Leatherwork,Economy,Medium,7.7,0.91,52.2,0.256,94.6,360.0,1379.0
Leatherwork,Economy,Small,6.8,4.87,51.0,0.938,108.0,252.0,1083.0
BambooCane,Premium,Small,9.3,3.97,56.4,0.589,122.7,189.0,2046.0
Jewelry,Standard,Small,4.6,0.5,69.0,0.267,70.5,483.0,985.0
Metalware,Economy,Large,10.7,5.05,68.5,0.939,92.2,640.0,2168.0
Woodwork,Premium,Small,11.6,2.2,76.1,0.481,129.0,504.0,3172.0
Painting,Economy,Medium,8.3,2.07,74.5,0.83,66.4,200.0,927.0
Painting,Standard,Large,5.4,4.34,93.6,0.647,149.7,460.0,2407.0
Jewelry,Standard,Small,9.9,3.96,48.9,0.341,65.8,483.0,2005.0
Leatherwork,Standard,Large,9.1,1.32,58.7,0.463,85.2,828.0,2153.0
Jewelry,Standard,Medium,12.5,4.34,70.7,0.104,124.7,690.0,4803.0
Pottery,Economy,Medium,4.5,7.64,95.6,0.919,88.8,96.0,901.0
Woodwork,Economy,Large,2.6,4.57,58.5,0.263,93.6,512.0,1498.0
Pottery,Standard,Small,15.6,7.73,48.5,0.073,120.6,96.6,4647.0
Metalware,Premium,Small,6.5,6.6,51.8,0.471,137.4,630.0,2448.0
Metalware,Economy,Medium,10.8,6.0,63.2,0.499,111.4,400.0,2599.0
Pottery,Economy,Small,5.6,8.2,76.8,0.334,135.1,67.2,1714.0
Pottery,Economy,Small,12.9,6.96,95.6,0.663,100.9,67.2,3141.0
Pottery,Economy,Medium,2.5,6.21,85.3,0.518,92.2,96.0,612.0
Pottery,Standard,Small,1.0,1.08,79.4,0.776,62.8,96.6,186.0
Leatherwork,Economy,Small,6.2,3.86,55.8,0.264,80.9,252.0,1193.0
Jewelry,Standard,Medium,12.5,5.5,95.3,0.704,134.1,690.0,4283.0
BambooCane,Standard,Small,11.8,6.14,85.1,0.932,124.0,120.7,2589.0
Painting,Economy,Medium,5.6,3.63,84.4,0.119,122.6,200.0,2030.0
Metalware,Premium,Large,4.0,4.16,58.3,0.05,141.7,1440.0,3730.0
Pottery,Standard,Small,13.6,3.52,73.3,0.569,91.6,96.6,2376.0
Woodwork,Premium,Small,1.3,1.45,74.1,0.453,83.6,504.0,923.0
Textile,Economy,Small,16.9,6.95,32.8,0.176,85.2,196.0,2831.0
BambooCane,Standard,Large,7.8,1.29,52.4,0.13,128.3,276.0,1928.0
BambooCane,Economy,Medium,5.0,3.09,78.6,0.668,113.9,120.0,1049.0
Woodwork,Economy,Small,12.9,4.71,79.6,0.882,134.7,224.0,2610.0
Jewelry,Economy,Small,4.2,2.22,89.1,0.549,82.2,336.0,1229.0
Woodwork,Economy,Medium,3.3,2.47,60.0,0.483,91.3,320.0,873.0
Textile,Economy,Large,6.0,4.63,93.2,0.221,93.0,448.0,2004.0
Textile,Standard,Large,10.5,2.67,92.1,0.462,144.2,644.0,3931.0
Woodwork,Premium,Small,12.5,0.96,56.3,0.489,115.2,504.0,2140.0
Leatherwork,Economy,Small,21.0,3.14,54.3,0.32,71.7,252.0,2397.0
Metalware,Standard,Medium,6.7,1.45,59.5,0.574,94.0,575.0,1455.0
Textile,Standard,Small,12.2,4.63,70.7,0.839,123.3,281.7,2799.0
Woodwork,Standard,Medium,4.8,3.29,54.2,0.436,143.6,460.0,1477.0
Woodwork,Economy,Large,3.8,5.35,76.5,0.299,137.9,512.0,2132.0
Woodwork,Economy,Large,17.1,2.17,94.0,0.56,109.1,512.0,4323.0
Jewelry,Standard,Medium,3.9,2.62,45.1,0.23,139.3,690.0,1693.0
Jewelry,Economy,Large,9.8,2.25,46.6,0.367,108.7,768.0,2540.0
Jewelry,Premium,Large,9.1,1.69,90.6,0.668,75.3,1728.0,3102.0
Pottery,Economy,Small,10.3,2.54,27.8,0.656,65.5,67.2,828.0
Pottery,Standard,Small,6.3,2.79,72.7,0.574,123.3,96.6,1316.0
Painting,Standard,Small,1.7,2.79,88.0,0.395,114.0,201.2,680.0
BambooCane,Standard,Small,12.3,2.82,70.8,0.277,120.2,120.7,2576.0
BambooCane,Standard,Small,4.8,1.2,83.2,0.653,142.7,120.7,938.0
Metalware,Premium,Medium,6.1,5.35,56.1,0.569,60.0,900.0,1892.0
Textile,Standard,Medium,7.3,4.48,61.8,0.439,60.1,402.5,1159.0
Leatherwork,Standard,Medium,9.6,3.17,45.2,0.364,62.6,517.5,1424.0
Leatherwork,Economy,Medium,19.0,3.0,73.7,0.597,76.2,360.0,2483.0
Leatherwork,Standard,Medium,7.8,7.03,95.5,0.344,107.7,517.5,3240.0
Textile,Standard,Small,11.1,7.9,51.3,0.717,85.1,281.7,2100.0
Painting,Economy,Large,3.8,5.56,69.2,0.469,92.8,320.0,1290.0
Textile,Premium,Medium,6.2,5.74,68.2,0.577,74.9,630.0,2013.0
Metalware,Economy,Small,8.0,5.29,74.6,0.801,116.0,280.0,1942.0
Painting,Premium,Small,3.0,6.71,39.4,0.314,86.4,315.0,1107.0
Pottery,Standard,Medium,19.0,2.47,67.9,0.855,88.9,138.0,2195.0
Painting,Premium,Medium,9.9,2.41,62.8,0.366,114.2,450.0,2470.0
Painting,Economy,Small,15.3,4.3,47.9,0.446,138.1,140.0,3714.0
Metalware,Economy,Large,9.7,5.11,51.0,0.608,67.7,640.0,2007.0
Woodwork,Economy,Medium,10.1,6.76,49.6,0.715,146.7,320.0,2980.0
Jewelry,Standard,Small,15.9,3.7,65.9,0.578,140.6,483.0,4121.0
Leatherwork,Standard,Medium,5.8,1.81,63.0,0.548,134.7,517.5,1577.0
Pottery,Economy,Small,6.0,0.5,68.9,0.318,137.8,67.2,1219.0
Pottery,Standard,Medium,3.2,5.6,83.5,0.57,131.3,138.0,1110.0
Textile,Standard,Small,17.7,5.5,57.4,0.529,93.0,281.7,3237.0
Leatherwork,Standard,Large,2.4,6.94,87.8,0.134,141.8,828.0,3268.0
Metalware,Standard,Medium,9.2,4.54,64.7,0.687,87.9,575.0,2183.0
Painting,Economy,Small,20.0,2.78,92.6,0.59,129.8,140.0,4315.0
Textile,Premium,Medium,17.3,1.91,93.3,0.077,72.1,630.0,3913.0
Textile,Standard,Small,8.4,2.61,82.3,0.185,78.0,281.7,1757.0
Metalware,Premium,Small,3.6,1.98,70.3,0.49,114.7,630.0,1461.0
Textile,Premium,Large,11.0,6.21,80.0,0.95,63.1,1008.0,2313.0
Jewelry,Economy,Medium,12.8,0.67,91.9,0.625,84.5,480.0,2061.0
BambooCane,Standard,Medium,8.8,4.15,81.9,0.675,108.4,172.5,1639.0
Leatherwork,Standard,Small,19.5,4.29,41.1,0.476,125.9,362.2,4103.0
Pottery,Economy,Medium,2.4,5.28,71.8,0.559,101.4,96.0,720.0
Woodwork,Standard,Small,12.8,1.44,78.9,0.659,138.4,322.0,2444.0
Metalware,Standard,Small,3.0,2.85,99.9,0.113,64.1,402.5,1381.0
BambooCane,Economy,Medium,22.5,4.51,95.4,0.326,61.6,120.0,2998.0
Jewelry,Standard,Medium,7.6,5.55,95.5,0.875,79.6,690.0,2178.0
Woodwork,Economy,Large,9.3,6.76,65.7,0.212,135.0,512.0,3748.0
Painting,Standard,Medium,5.2,6.08,99.8,0.253,127.9,287.5,2392.0
Jewelry,Standard,Medium,7.4,5.11,54.7,0.278,104.7,690.0,2442.0
Jewelry,Economy,Medium,10.4,4.86,79.1,0.844,66.3,480.0,1943.0
BambooCane,Premium,Medium,4.8,0.5,57.2,0.757,144.3,270.0,953.0
Textile,Economy,Medium,15.7,5.01,59.0,0.704,104.0,280.0,2537.0
Textile,Economy,Medium,16.6,5.09,60.2,0.363,113.8,280.0,4312.0
Pottery,Economy,Small,4.7,4.85,100.0,0.738,76.3,67.2,791.0
Pottery,Standard,Medium,2.0,5.14,44.5,0.156,128.8,138.0,751.0
Jewelry,Standard,Medium,21.5,3.89,76.1,0.237,141.8,690.0,7812.0
BambooCane,Premium,Medium,7.0,4.46,47.1,0.553,83.2,270.0,1343.0
Woodwork,Economy,Medium,6.8,2.41,78.8,0.618,80.0,320.0,1170.0
Jewelry,Standard,Large,5.3,1.32,52.7,0.542,137.4,1104.0,2140.0
Textile,Premium,Medium,7.1,1.71,80.9,0.537,71.8,630.0,1711.0
Leatherwork,Premium,Medium,8.2,6.62,56.7,0.05,119.0,810.0,4437.0
Jewelry,Premium,Medium,7.9,0.92,64.4,0.295,136.8,1080.0,3072.0
Jewelry,Economy,Large,21.6,2.94,74.5,0.42,94.8,768.0,4186.0
BambooCane,Standard,Medium,8.0,7.76,93.6,0.231,146.8,172.5,3584.0
Metalware,Economy,Small,7.1,3.79,86.9,0.485,91.6,280.0,1701.0
Leatherwork,Economy,Medium,9.5,4.08,84.2,0.343,122.3,360.0,2762.0
Textile,Standard,Large,11.4,6.15,64.4,0.05,96.3,644.0,4094.0
Metalware,Economy,Small,7.0,3.77,81.4,0.885,98.9,280.0,1430.0
Painting,Standard,Small,7.0,2.35,77.5,0.231,95.0,201.2,1614.0
Painting,Economy,Medium,1.5,4.41,77.6,0.287,71.6,200.0,501.0
BambooCane,Economy,Medium,7.8,0.5,53.4,0.809,125.3,120.0,1101.0
BambooCane,Economy,Medium,5.4,2.37,84.6,0.86,121.2,120.0,1003.0
Pottery,Standard,Medium,7.7,1.59,57.0,0.159,96.3,138.0,1345.0
Metalware,Standard,Large,19.3,4.14,76.3,0.941,126.7,920.0,3747.0
BambooCane,Economy,Medium,12.4,2.48,73.6,0.653,70.3,120.0,1395.0
Pottery,Economy,Large,20.8,3.73,89.2,0.096,109.5,153.6,4835.0
Metalware,Premium,Large,10.5,1.52,71.5,0.436,85.9,1440.0,3774.0
BambooCane,Standard,Medium,32.6,2.18,82.9,0.169,129.8,172.5,6998.0
Leatherwork,Premium,Large,7.4,4.81,52.4,0.748,104.1,1296.0,2928.0
BambooCane,Economy,Small,4.8,2.94,72.5,0.379,146.4,84.0,1414.0
Painting,Premium,Medium,10.3,3.93,100.0,0.425,124.0,450.0,3365.0
Jewelry,Economy,Small,1.0,3.08,74.4,0.813,88.3,336.0,526.0
Leatherwork,Economy,Small,2.2,1.0,74.1,0.234,137.6,252.0,962.0
Textile,Economy,Small,2.4,6.12,45.3,0.169,148.6,196.0,1083.0
Pottery,Economy,Small,8.9,5.69,89.2,0.359,82.8,67.2,1697.0
Metalware,Standard,Medium,12.8,2.45,86.5,0.109,60.1,575.0,2373.0
Pottery,Standard,Medium,13.4,3.27,72.0,0.724,83.2,138.0,1554.0
Woodwork,Premium,Medium,12.1,2.74,69.9,0.538,137.1,720.0,3459.0
Textile,Standard,Medium,20.8,8.35,55.4,0.325,121.9,402.5,6583.0
Textile,Standard,Medium,10.8,7.15,64.2,0.426,74.4,402.5,2574.0
Textile,Economy,Medium,7.1,5.64,54.9,0.667,64.1,280.0,1088.0
BambooCane,Premium,Large,4.9,5.02,70.5,0.746,100.8,432.0,1395.0
BambooCane,Economy,Large,6.4,2.74,61.0,0.269,61.2,192.0,932.0
Pottery,Standard,Medium,10.8,6.88,71.4,0.409,131.3,138.0,3343.0
BambooCane,Standard,Small,13.9,1.19,59.3,0.254,147.5,120.7,2711.0
Pottery,Standard,Medium,2.6,2.15,82.9,0.182,70.3,138.0,600.0
Jewelry,Standard,Large,6.0,4.39,67.0,0.729,101.2,1104.0,2508.0
Painting,Standard,Medium,10.0,4.94,74.5,0.845,98.0,287.5,1895.0
Jewelry,Standard,Small,9.8,3.02,98.0,0.426,139.7,483.0,3528.0
Metalware,Economy,Small,3.7,3.77,55.3,0.364,69.3,280.0,758.0
Textile,Economy,Medium,6.4,1.45,69.8,0.427,142.4,280.0,1860.0
Leatherwork,Standard,Medium,7.3,5.17,57.8,0.744,90.6,517.5,1803.0
BambooCane,Economy,Medium,5.5,2.74,52.1,0.098,63.4,120.0,857.0
Metalware,Premium,Medium,3.7,2.31,77.8,0.505,116.5,900.0,2104.0
Woodwork,Standard,Small,10.4,2.43,71.2,0.256,117.2,322.0,2543.0
Metalware,Standard,Medium,10.0,5.37,80.5,0.636,119.4,575.0,3170.0
Metalware,Economy,Small,17.0,4.19,60.8,0.538,62.9,280.0,1908.0
BambooCane,Economy,Small,20.1,4.94,80.4,0.177,113.4,84.0,5610.0
Textile,Economy,Small,14.5,6.31,79.6,0.717,138.2,196.0,4141.0
Metalware,Economy,Large,8.2,1.39,80.5,0.276,78.0,640.0,1942.0
Leatherwork,Premium,Small,14.9,1.48,60.3,0.373,130.0,567.0,3021.0
Leatherwork,Economy,Medium,8.4,2.03,62.2,0.366,75.5,360.0,1596.0
Leatherwork,Economy,Small,17.2,3.58,77.6,0.557,89.0,252.0,2560.0
Pottery,Economy,Medium,16.3,6.19,86.0,0.515,89.9,96.0,3542.0
Painting,Economy,Small,9.6,1.04,78.5,0.375,127.6,140.0,2127.0
Painting,Premium,Medium,5.9,6.13,97.8,0.391,99.0,450.0,1933.0
Jewelry,Standard,Medium,2.5,4.6,80.5,0.834,111.5,690.0,1554.0
Metalware,Premium,Small,4.7,1.47,66.6,0.388,91.2,630.0,1519.0
Woodwork,Economy,Medium,8.0,1.66,74.4,0.805,131.9,320.0,1546.0
Woodwork,Economy,Small,7.1,8.53,41.5,0.196,109.9,224.0,2305.0
Jewelry,Standard,Medium,8.6,8.01,45.6,0.369,98.3,690.0,2932.0
Woodwork,Standard,Medium,22.1,3.18,62.1,0.321,135.7,460.0,6133.0
Woodwork,Economy,Medium,6.1,6.73,59.9,0.697,83.7,320.0,1420.0
BambooCane,Standard,Small,13.7,5.21,69.0,0.336,118.4,120.7,3589.0
Painting,Standard,Large,4.7,4.51,86.8,0.155,87.4,460.0,1719.0
Pottery,Standard,Medium,2.1,4.26,65.6,0.209,137.6,138.0,790.0
Metalware,Standard,Medium,9.4,5.78,57.9,0.116,84.0,575.0,2598.0
Leatherwork,Economy,Small,6.5,2.18,43.5,0.052,95.4,252.0,1381.0
Woodwork,Economy,Large,10.0,8.55,76.4,0.272,122.3,512.0,4475.0
Metalware,Standard,Small,3.2,4.19,72.2,0.537,149.1,402.5,1470.0
Leatherwork,Premium,Large,10.7,8.61,74.8,0.356,122.8,1296.0,7101.0
Textile,Premium,Medium,29.3,1.48,81.4,0.648,117.4,630.0,5844.0
Woodwork,Economy,Small,1.5,5.37,57.8,0.556,104.4,224.0,615.0
Textile,Standard,Medium,4.1,7.08,83.0,0.646,82.0,402.5,1295.0
Leatherwork,Economy,Large,4.7,5.34,64.2,0.441,76.0,576.0,1649.0
BambooCane,Standard,Small,4.0,1.26,99.8,0.394,104.9,120.7,890.0
Textile,Premium,Medium,7.6,5.77,94.7,0.845,104.1,630.0,2337.0
Pottery,Economy,Small,4.5,4.24,47.4,0.304,108.1,67.2,877.0
Leatherwork,Premium,Medium,7.4,2.34,67.2,0.645,65.1,810.0,1846.0
Jewelry,Premium,Medium,6.1,1.59,70.2,0.227,142.1,1080.0,3109.0
BambooCane,Premium,Large,5.9,5.13,75.9,0.32,113.1,432.0,2163.0
Jewelry,Economy,Small,5.3,1.14,51.9,0.809,73.3,336.0,705.0
Woodwork,Standard,Medium,16.0,7.34,73.3,0.408,132.4,460.0,5344.0
Woodwork,Standard,Medium,15.2,1.8,60.2,0.718,90.5,460.0,2214.0
Metalware,Premium,Large,5.0,5.81,79.5,0.239,113.6,1440.0,4751.0
BambooCane,Economy,Medium,10.5,3.98,81.1,0.822,122.9,120.0,2138.0
Textile,Economy,Medium,8.5,3.28,64.0,0.14,98.6,280.0,1815.0
Textile,Standard,Large,10.9,1.74,64.4,0.789,72.3,644.0,1913.0
Jewelry,Economy,Medium,7.1,2.64,62.2,0.11,121.0,480.0,1834.0
Woodwork,Economy,Small,10.7,3.73,74.8,0.915,115.5,224.0,1977.0
Textile,Premium,Medium,6.7,2.6,54.4,0.24,114.5,630.0,2377.0
Jewelry,Economy,Medium,6.6,2.22,74.5,0.258,119.2,480.0,2092.0
Textile,Premium,Medium,5.4,3.45,81.7,0.19,120.2,630.0,2697.0
Leatherwork,Premium,Large,6.2,2.07,69.6,0.464,79.3,1296.0,2671.0
Textile,Standard,Medium,15.3,5.95,83.9,0.786,126.1,402.5,3953.0
Woodwork,Premium,Small,6.9,3.6,61.0,0.891,126.5,504.0,1710.0
Textile,Standard,Large,5.2,2.13,66.5,0.755,134.9,644.0,1556.0
Woodwork,Economy,Large,6.8,3.16,100.0,0.289,133.0,512.0,3176.0
Jewelry,Economy,Large,12.8,3.35,59.5,0.791,68.0,768.0,1995.0
Pottery,Standard,Medium,4.8,3.47,91.6,0.582,126.7,138.0,1387.0
Textile,Standard,Large,9.1,8.82,61.6,0.358,135.2,644.0,4209.0
Leatherwork,Standard,Small,4.0,0.5,51.9,0.813,130.6,362.2,903.0
Textile,Economy,Medium,9.2,2.82,82.1,0.277,148.7,280.0,2975.0
Metalware,Standard,Large,12.4,2.65,90.4,0.482,122.6,920.0,4386.0
Leatherwork,Economy,Large,3.2,1.09,68.3,0.059,143.6,576.0,1456.0
Metalware,Economy,Small,4.7,1.99,60.2,0.712,65.9,280.0,727.0
Metalware,Standard,Medium,6.0,0.5,65.9,0.56,124.2,575.0,1694.0
Metalware,Premium,Large,17.3,4.94,90.1,0.334,80.1,1440.0,4922.0
Pottery,Standard,Small,6.1,3.89,76.4,0.238,94.9,96.6,1323.0
Leatherwork,Economy,Medium,6.4,4.56,74.9,0.323,114.3,360.0,2081.0
Leatherwork,Premium,Medium,7.3,6.73,76.3,0.643,65.9,810.0,2078.0
BambooCane,Standard,Small,5.8,6.83,50.3,0.248,92.1,120.7,1378.0
Woodwork,Premium,Small,11.3,3.31,67.5,0.911,136.8,504.0,2828.0
Pottery,Standard,Medium,6.7,1.65,57.9,0.713,131.7,138.0,1227.0
Textile,Economy,Large,7.4,2.79,63.3,0.14,129.8,448.0,2546.0
Textile,Premium,Small,4.7,1.94,68.7,0.84,106.4,441.0,1137.0
BambooCane,Economy,Medium,3.7,4.25,76.6,0.398,63.1,120.0,627.0
Jewelry,Premium,Small,8.9,4.86,83.5,0.371,125.4,756.0,3471.0
Leatherwork,Economy,Medium,4.8,3.99,70.4,0.344,81.3,360.0,1372.0
Metalware,Economy,Small,4.3,7.43,67.5,0.355,90.9,280.0,1282.0
Pottery,Standard,Small,2.1,3.22,67.5,0.866,69.9,96.6,289.0
BambooCane,Standard,Medium,7.8,0.9,54.3,0.068,94.5,172.5,1334.0
Jewelry,Premium,Large,17.0,2.77,95.9,0.5,116.3,1728.0,7000.0
Woodwork,Premium,Medium,13.1,2.49,64.4,0.252,132.5,720.0,3966.0
Woodwork,Standard,Medium,10.4,0.8,70.9,0.573,126.6,460.0,2470.0
